# Variable usage in CMIP6 dataset list compiled by WGI TSU based on IPCC author information
# Call: ./varlist4dreq.py output/cmip6_list_2022-05-17.json
# Date: 2022-05-20
#
Variable,Count
ssp126.tasmin,29
ssp126.thetao,29
ssp126.tos,32
ssp126.ts,40
ssp126.tsl,26
ssp126.ua,84
ssp126.zg,25
ssp245-GHG.psl,5
ssp245-GHG.siconc,1
ssp245-GHG.siconca,5
ssp245-GHG.tas,6
ssp245-GHG.tos,6
ssp245-aer.psl,5
ssp245-aer.siconca,5
ssp245-aer.tas,5
ssp245-aer.tos,5
ssp245-covid.od550aer,156
ssp245-covid.tas,179
ssp245-nat.psl,5
ssp245-nat.siconc,2
ssp245-nat.siconca,5
ssp245-nat.tas,7
ssp245-nat.tos,7
ssp245.??,15
ssp245.areacello,1
ssp245.cLand,9
ssp245.evspsbl,38
ssp245.fgco2,21
ssp245.mmrbc,12
ssp245.mmrdust,12
ssp245.mmroa,12
ssp245.mmrso4,12
ssp245.mmrss,12
ssp245.mrro,32
ssp245.mrso,33
ssp245.mrsos,30
ssp245.msftmz,12
ssp245.nbp,14
ssp245.o3,12
ssp245.phos,6
ssp245.pr,501
ssp245.prw,33
ssp245.psl,205
ssp245.siarean,44
ssp245.siareas,47
ssp245.siconc,285
ssp245.siconca,21
ssp245.snc,19
ssp245.snw,172
ssp245.so,24
ssp245.tas,345
ssp245.tasmax,187
ssp245.tasmin,28
ssp245.thetao,24
ssp245.tos,176
ssp245.ts,41
ssp245.tsl,27
ssp245.ua,58
ssp245.va,1
ssp245.zg,25
ssp370-lowNTCF.mmrbc,8
ssp370-lowNTCF.mmrdust,8
ssp370-lowNTCF.mmroa,8
ssp370-lowNTCF.mmrso4,8
ssp370-lowNTCF.mmrss,8
ssp370-lowNTCF.o3,8
ssp370-lowNTCF.tas,9
ssp370-lowNTCFCH4.mmrbc,11
ssp370-lowNTCFCH4.mmrdust,11
ssp370-lowNTCFCH4.mmroa,11
ssp370-lowNTCFCH4.mmrso4,11
ssp370-lowNTCFCH4.mmrss,11
ssp370-lowNTCFCH4.o3,11
ssp370.cLand,9
ssp370.evspsbl,30
ssp370.fgco2,22
ssp370.hurs,30
ssp370.mmrbc,11
ssp370.mmrdust,11
ssp370.mmroa,11
ssp370.mmrso4,11
ssp370.mmrss,11
ssp370.mrro,28
ssp370.mrso,30
ssp370.mrsos,28
ssp370.msftmz,14
ssp370.nbp,15
ssp370.o3,26
ssp370.ph,11
ssp370.phalf,12
ssp370.phos,6
ssp370.pr,112
ssp370.prw,28
ssp370.ps,1
ssp370.psl,38
ssp370.ptp,25
ssp370.siconc,26
ssp370.snc,17
ssp370.so,21
ssp370.ta,32
ssp370.tas,74
ssp370.tasmax,24
ssp370.tasmin,25
ssp370.thetao,21
ssp370.tos,19
ssp370.ts,36
ssp370.tsl,25
ssp370.ua,73
ssp370.zg,24
ssp370SST.mmrpm2p5,3
ssp370SST.o3,4
ssp370SST.tas,4
ssp370pdSST.mmrpm2p5,3
ssp370pdSST.o3,4
ssp370pdSST.tas,4
ssp534-over.fgco2,5
ssp534-over.nbp,5
ssp534-over.pr,12
ssp534-over.siconc,9
ssp534-over.tas,13
ssp534-over.zostoga,4
ssp585-bgc.areacello,1
ssp585.??,20
ssp585.areacella,3
ssp585.areacello,3
ssp585.cLand,9
ssp585.evspsbl,40
ssp585.fgco2,26
ssp585.hfds,21
ssp585.mlotst,21
ssp585.mmrbc,8
ssp585.mmrdust,8
ssp585.mmroa,8
ssp585.mmrso4,8
ssp585.mmrss,8
ssp585.mrro,33
ssp585.mrso,35
ssp585.mrsos,31
ssp585.msftbarot,11
ssp585.msftmz,13
ssp585.nbp,17
ssp585.o3,8
ssp585.phos,6
ssp585.pr,196
ssp585.prw,263
ssp585.psl,96
ssp585.sftlf,3
ssp585.sftof,2
ssp585.siarean,31
ssp585.siareas,31
ssp585.siconc,133
ssp585.siconca,3
ssp585.snc,19
ssp585.so,24
ssp585.tas,232
